iter	Passed	Remaining
403	7067	10425
404	7081	10402
405	7099	10386
406	7113	10364
407	7130	10346
408	7145	10325
409	7161	10306
410	7179	10288
411	7196	10270
412	7212	10251
413	7229	10233
414	7246	10215
415	7263	10196
416	7280	10179
417	7296	10158
418	7315	10143
419	7331	10124
420	7348	10105
421	7364	10087
422	7381	10068
423	7397	10049
424	7413	10029
425	7429	10011
426	7447	9993
427	7464	9975
428	7480	9956
429	7497	9938
430	7514	9920
431	7531	9902
432	7549	9885
433	7565	9866
434	7583	9850
435	7598	9829
436	7615	9810
437	7630	9791
438	7648	9774
439	7664	9754
440	7684	9741
441	7701	9722
442	7719	9706
443	7738	9690
444	7756	9673
445	7773	9656
446	7791	9638
447	7807	9620
448	7823	9600
449	7847	9591
450	7870	9581
451	7890	9566
452	7909	9550
453	7925	9531
454	7943	9514
455	7965	9502
456	7982	9484
457	8000	9468
458	8020	9452
459	8037	9435
460	8057	9420
461	8078	9406
462	8095	9389
463	8114	9373
464	8128	9352
465	8147	9336
466	8162	9315
467	8178	9297
468	8192	9275
469	8211	9259
470	8231	9245
471	8248	9227
472	8265	9209
473	8281	9189
474	8297	9171
475	8314	9153
476	8332	9135
477	8349	9117
478	8366	9099
479	8382	9080
480	8400	9064
481	8417	9046
482	8434	9027
483	8451	9010
484	8467	8990
485	8483	8971
486	8498	8952
487	8516	8934
488	8531	8915
489	8549	8898
490	8565	8879
491	8582	8861
492	8598	8843
493	8615	8824
494	8632	8806
495	8649	8788
496	8667	8772
497	8683	8752
498	8700	8734
499	8713	8713
500	8729	8694
501	8744	8674
502	8761	8656
503	8778	8639
504	8797	8623
505	8812	8603
506	8830	8586
507	8845	8566
508	8862	8549
509	8879	8530
510	8894	8511
511	8912	8495
512	8930	8478
513	8947	8460
514	8963	8441
515	8980	8423
516	8996	8404
517	9012	8386
518	9028	8367
519	9045	8349
520	9060	8330
521	9077	8312
522	9093	8294
523	9110	8276
524	9126	8257
525	9142	8238
526	9157	8219
527	9174	8201
528	9190	8182
529	9207	8165
530	9224	8147
531	9241	8129
532	9258	8112
533	9275	8094
534	9294	8078
535	9311	8060
536	9327	8041
537	9343	8023
538	9359	8005
539	9375	7986
540	9392	7969
541	9409	7950
542	9424	7932
543	9440	7913
544	9456	7894
545	9471	7875
546	9488	7858
547	9505	7840
548	9521	7821
549	9538	7803
550	9554	7785
551	9575	7771
552	9594	7755
553	9610	7737
554	9627	7719
555	9643	7700
556	9659	7682
557	9676	7664
558	9693	7647
559	9707	7627
560	9723	7608
561	9738	7589
562	9755	7572
563	9771	7553
564	9787	7535
565	9801	7515
566	9819	7498
567	9839	7483
568	9853	7463
569	9872	7447
570	9887	7428
571	9903	7410
572	9918	7391
573	9934	7373
574	9952	7356
575	9970	7339
576	9988	7322
577	10006	7305
578	10023	7287
579	10038	7269
580	10055	7251
581	10070	7232
582	10086	7214
583	10104	7197
584	10121	7180
585	10138	7162
586	10154	7144
587	10169	7125
588	10191	7111
589	10206	7092
590	10223	7075
591	10241	7058
592	10259	7041
593	10276	7023
594	10292	7005
595	10310	6988
596	10326	6970
597	10342	6952
598	10358	6934
599	10376	6917
600	10394	6900
601	10411	6883
602	10431	6867
603	10447	6849
604	10468	6835
605	10487	6818
606	10507	6802
607	10527	6787
608	10544	6769
609	10565	6755
610	10586	6739
611	10606	6724
612	10623	6707
613	10646	6692
614	10664	6676
615	10687	6662
616	10709	6647
617	10727	6630
618	10745	6614
619	10766	6598
620	10787	6583
621	10804	6566
622	10824	6550
623	10845	6535
624	10863	6518
625	10889	6505
626	10906	6488
627	10929	6473
628	10947	6457
629	10966	6440
630	10988	6425
631	11009	6410
632	11032	6396
633	11051	6379
634	11071	6364
635	11090	6347
636	11109	6331
637	11131	6315
638	11148	6298
639	11167	6281
640	11183	6263
641	11202	6246
642	11220	6229
643	11240	6213
644	11258	6196
645	11277	6179
646	11295	6162
647	11316	6147
648	11339	6132
649	11362	6118
650	11380	6101
651	11400	6084
652	11419	6068
653	11441	6053
654	11458	6035
655	11476	6018
656	11494	6000
657	11511	5983
658	11529	5965
659	11547	5948
660	11565	5931
661	11583	5914
662	11603	5897
663	11623	5881
664	11642	5865
665	11665	5850
666	11684	5833
667	11701	5815
668	11721	5799
669	11737	5781
670	11754	5763
671	11769	5744
672	11787	5727
673	11808	5711
674	11826	5694
675	11845	5677
676	11863	5659
677	11879	5641
678	11895	5623
679	11910	5605
680	11928	5587
681	11944	5569
682	11961	5551
683	11975	5532
684	11994	5515
685	12009	5496
686	12030	5481
687	12048	5463
688	12064	5445
689	12080	5427
690	12098	5410
691	12114	5392
692	12133	5374
693	12151	5357
694	12169	5340
695	12184	5321
696	12201	5304
697	12216	5285
698	12233	5268
699	12253	5251
700	12271	5234
701	12286	5215
702	12304	5198
703	12318	5179
704	12336	5161
705	12354	5144
706	12370	5126
707	12387	5109
708	12406	5091
709	12423	5074
710	12440	5056
711	12456	5038
712	12476	5022
713	12492	5004
714	12511	4987
715	12526	4968
716	12544	4951
717	12559	4932
718	12578	4915
719	12594	4897
720	12611	4880
721	12626	4861
722	12644	4844
723	12659	4826
724	12679	4809
725	12693	4790
726	12709	4772
727	12726	4754
728	12741	4736
729	12757	4718
730	12771	4699
731	12787	4681
732	12806	4664
733	12820	4646
734	12837	4628
735	12854	4610
736	12871	4593
737	12889	4575
738	12909	4559
739	12925	4541
740	12943	4524
741	12962	4507
742	12980	4489
743	12996	4472
744	13013	4454
745	13031	4436
746	13047	4418
747	13067	4402
748	13084	4384
749	13099	4366
750	13117	4349
751	13133	4331
752	13150	4313
753	13165	4295
754	13188	4279
755	13204	4261
756	13221	4244
757	13237	4226
758	13254	4208
759	13271	4191
760	13290	4173
761	13307	4156
762	13323	4138
763	13342	4121
764	13359	4104
765	13377	4086
766	13396	4069
767	13413	4051
768	13431	4034
769	13445	4016
770	13463	3998
771	13477	3980
772	13493	3962
773	13509	3944
774	13528	3927
775	13543	3909
776	13562	3892
777	13583	3876
778	13600	3858
779	13617	3840
780	13635	3823
781	13651	3805
782	13668	3787
783	13682	3769
784	13697	3751
785	13717	3734
786	13734	3717
787	13750	3699
788	13768	3682
789	13782	3663
790	13799	3646
791	13815	3628
792	13830	3610
793	13846	3592
794	13864	3575
795	13881	3557
796	13900	3540
797	13917	3523
798	13934	3505
799	13952	3488
800	13967	3470
801	13984	3452
802	13999	3434
803	14016	3416
804	14030	3398
805	14052	3382
806	14067	3364
807	14084	3346
808	14100	3329
809	14116	3311
810	14132	3293
811	14150	3276
812	14167	3258
813	14184	3241
814	14200	3223
815	14216	3205
816	14234	3188
817	14251	3170
818	14269	3153
819	14286	3136
820	14303	3118
821	14321	3101
822	14337	3083
823	14352	3065
824	14369	3048
825	14386	3030
826	14402	3012
827	14419	2995
828	14436	2977
829	14453	2960
830	14471	2943
831	14488	2925
832	14504	2907
833	14520	2890
834	14538	2872
835	14553	2854
836	14570	2837
837	14585	2819
838	14602	2802
839	14617	2784
840	14636	2767
841	14653	2749
842	14668	2731
843	14686	2714
844	14703	2697
845	14719	2679
846	14734	2661
847	14752	2644
848	14771	2627
849	14789	2609
850	14809	2592
851	14826	2575
852	14844	2558
853	14860	2540
854	14878	2523
855	14895	2505
856	14911	2488
857	14927	2470
858	14943	2452
859	14961	2435
860	14977	2417
861	14994	2400
862	15008	2382
863	15023	2364
864	15042	2347
865	15059	2330
866	15075	2312
867	15090	2294
868	15107	2277
869	15123	2259
870	15141	2242
871	15157	2224
872	15176	2207
873	15190	2189
874	15209	2172
875	15223	2154
876	15240	2137
877	15255	2119
878	15272	2102
879	15288	2084
880	15303	2067
881	15320	2049
882	15337	2032
883	15354	2014
884	15370	1997
885	15393	1980
886	15415	1963
887	15433	1946
888	15451	1929
889	15465	1911
890	15483	1894
891	15500	1876
892	15518	1859
893	15533	1841
894	15552	1824
895	15568	1807
896	15584	1789
897	15600	1771
898	15616	1754
899	15633	1737
900	15649	1719
901	15666	1702
902	15684	1684
903	15702	1667
904	15720	1650
905	15737	1632
906	15753	1615
907	15768	1597
908	15784	1580
909	15800	1562
910	15817	1545
911	15833	1527
912	15850	1510
913	15865	1492
914	15883	1475
915	15900	1458
916	15918	1440
917	15933	1423
918	15952	1406
919	15975	1389
920	15995	1372
921	16016	1355
922	16034	1337
923	16054	1320
924	16075	1303
925	16092	1286
926	16114	1269
927	16133	1251
928	16151	1234
929	16167	1216
930	16183	1199
931	16199	1181
932	16215	1164
933	16231	1146
934	16249	1129
935	16269	1112
936	16286	1095
937	16302	1077
938	16320	1060
939	16335	1042
940	16353	1025
941	16368	1007
942	16385	990
943	16402	973
944	16418	955
945	16437	938
946	16456	921
947	16477	903
948	16496	886
949	16512	869
950	16530	851
951	16546	834
952	16567	817
953	16581	799
954	16598	782
955	16614	764
956	16630	747
957	16648	729
958	16664	712
959	16681	695
960	16695	677
961	16716	660
962	16734	642
963	16751	625
964	16767	608
965	16783	590
966	16800	573
967	16816	555
968	16835	538
969	16850	521
970	16868	503
971	16886	486
972	16903	469
973	16920	451
974	16936	434
975	16953	416
976	16967	399
977	16984	382
978	16999	364
979	17017	347
980	17033	329
981	17052	312
982	17069	295
983	17086	277
984	17104	260
985	17121	243
986	17139	225
987	17157	208
988	17175	191
989	17191	173
990	17207	156
991	17225	138
992	17242	121
993	17258	104
994	17273	86
995	17289	69
996	17306	52
997	17324	34
998	17340	17
999	17357	0
