iter	RMSE
629	12183652.5
630	12179172.47
631	12177972.87
632	12175970.08
633	12148461.14
634	12141778.41
635	12137907.27
636	12121788.73
637	12119204.5
638	12118251.1
639	12109722.48
640	12098278.57
641	12080293.54
642	12078654.55
643	12058858.65
644	12043131.34
645	12040697.76
646	12018974.51
647	12013821.95
648	12009786.94
649	12006226.7
650	11979360.35
651	11975786.39
652	11969100.71
653	11967295.39
654	11963608.17
655	11962328.71
656	11951567.72
657	11935889.95
658	11929233.54
659	11906719.84
660	11893924.43
661	11887626.59
662	11867563.37
663	11863124.61
664	11842274.85
665	11838842.05
666	11822358.66
667	11795648.02
668	11790093.16
669	11760238.77
670	11757679.66
671	11740509.73
672	11735633.44
673	11706048.54
674	11701889
675	11683034.62
676	11664279.13
677	11647238.31
678	11640315.97
679	11626556.64
680	11616903.04
681	11610796.91
682	11597576.1
683	11595442.15
684	11591860.69
685	11588985.71
686	11586085.18
687	11584125.25
688	11571805.24
689	11565516.74
690	11563406.75
691	11562169.82
692	11544325.31
693	11541040.94
694	11514652.36
695	11507061.07
696	11483794.32
697	11472327.6
698	11449862.82
699	11449004.98
700	11438319.37
701	11391344.39
702	11388944.12
703	11376594.27
704	11351643.69
705	11347687.26
706	11322953.47
707	11308955.5
708	11306913.71
709	11301560.02
710	11288957.26
711	11279579.07
712	11273499.55
713	11238133.46
714	11214456.99
715	11212823.86
716	11200113.84
717	11189532.14
718	11142277.6
719	11137631.54
720	11129881.98
721	11094208.26
722	11092550.69
723	11083036.49
724	11080559.34
725	11070959.65
726	11067911.07
727	11065786.4
728	11056350.63
729	11046218.07
730	11029650.72
731	11028389.11
732	11025919.44
733	11024709.55
734	11023666.52
735	11007941.53
736	10994351.51
737	10992302.08
738	10991080.55
739	10989412.87
740	10975923.92
741	10914891.42
742	10880611.94
743	10865556.81
744	10863465.46
745	10843961.34
746	10839297.38
747	10828396.72
748	10802706.07
749	10781597.45
750	10765705.78
751	10732235.92
752	10723685.78
753	10722021.33
754	10718272.08
755	10687163.14
756	10674174.49
757	10672999.46
758	10649797.06
759	10647510.75
760	10627497.62
761	10624621.01
762	10618303.45
763	10617009.93
764	10609972.65
765	10608458.41
766	10590260.41
767	10587324.65
768	10581967.2
769	10577611.66
770	10568529.59
771	10548691.03
772	10527483.2
773	10517273.17
774	10505613.96
775	10491225.84
776	10459776.39
777	10457372.78
778	10447888.15
779	10446697.49
780	10435507.76
781	10412590.76
782	10402785.82
783	10393942.55
784	10389701.14
785	10388031.22
786	10368254.18
787	10341993.79
788	10315037.47
789	10304396.02
790	10290259.11
791	10260476.25
792	10246589.43
793	10243925
794	10242309.54
795	10236696.74
796	10234007.15
797	10215892.38
798	10213650.95
799	10205894.2
800	10205188.43
801	10203369.08
802	10201026.77
803	10189849.13
804	10173336.71
805	10169860.92
806	10167543.36
807	10156668.24
808	10140328.83
809	10132528.74
810	10110127.51
811	10108491.31
812	10107118.99
813	10104449.51
814	10081662.09
815	10076662.75
816	10075773.04
817	10074352.67
818	10072893.94
819	10049708.81
820	10022647.11
821	9976954.262
822	9975839.949
823	9964599.33
824	9961952.599
825	9960431.036
826	9944338.469
827	9931862.709
828	9928344.711
829	9924718.423
830	9922494.018
831	9918592.11
832	9902043.584
833	9900059.257
834	9888451.251
835	9875000.244
836	9868586.925
837	9845861.843
838	9841614.729
839	9817294.05
840	9815352.947
841	9811524.28
842	9809108.093
843	9796400.658
844	9794145.931
845	9792141.426
846	9791168.134
847	9789711.02
848	9769113.162
849	9762764.341
850	9758156.33
851	9741483.713
852	9738741.11
853	9737890.291
854	9736270.307
855	9720025.048
856	9705478.07
857	9704258.283
858	9702867.346
859	9684493.375
860	9675043.348
861	9660052.864
862	9640746.856
863	9608779.491
864	9607845.414
865	9595126.098
866	9593804.087
867	9579799.8
868	9572165.225
869	9560370.493
870	9554725.865
871	9549657.17
872	9542432.539
873	9539361.55
874	9527530.335
875	9524038.168
876	9521724.946
877	9512840.168
878	9489727.797
879	9488262.998
880	9486314.929
881	9484560.184
882	9483614.314
883	9470278.699
884	9454238.902
885	9444800.717
886	9443460.644
887	9441819.923
888	9439688.555
889	9428834.891
890	9416106.91
891	9414078.127
892	9388887.326
893	9387353.441
894	9385828.346
895	9383372.295
896	9380259.518
897	9371516.152
898	9345618.667
899	9344701.471
900	9322334.494
901	9304395.88
902	9302389.07
903	9287226.01
904	9278520.748
905	9277347.262
906	9273270.332
907	9239977.898
908	9208496.102
909	9201418.315
910	9197918.298
911	9194842.524
912	9192663.882
913	9185924.253
914	9184516.662
915	9181498.957
916	9179405.86
917	9173559.301
918	9172152.652
919	9170935.988
920	9159504.568
921	9158513.419
922	9141581.268
923	9140083.21
924	9118905.361
925	9089868.018
926	9079871.962
927	9069745.934
928	9067273.875
929	9060609.197
930	9058299.964
931	9030583.239
932	9010287.62
933	8995921.901
934	8985460.195
935	8984191.454
936	8980678.829
937	8977411.973
938	8976656.172
939	8974049.842
940	8971519.605
941	8962833.199
942	8956703.766
943	8928627.521
944	8913354.64
945	8911777.977
946	8910308.481
947	8909145.219
948	8907802.528
949	8904682.593
950	8898025.353
951	8889253.921
952	8888036.445
953	8885606.805
954	8884782.001
955	8883324.73
956	8882491.203
957	8872227.939
958	8870828.214
959	8869064.001
960	8865913.896
961	8862290.852
962	8860067.643
963	8856730.104
964	8853985.323
965	8843789.893
966	8842088.58
967	8834423.29
968	8831476.475
969	8814944.812
970	8813933.815
971	8801535.355
972	8799679.342
973	8792054.746
974	8790759.141
975	8788354.903
976	8769673.837
977	8760568.079
978	8757753.451
979	8739911.679
980	8727946.91
981	8709510.482
982	8703510.072
983	8686106.635
984	8672840.843
985	8654779.215
986	8653315.567
987	8652296.514
988	8640978.242
989	8631167.173
990	8617834.764
991	8616806.928
992	8615068.174
993	8613762.221
994	8608550.358
995	8607774.644
996	8602512.11
997	8588571.682
998	8587276.297
999	8585240.16
